order_id,timestamp,sku_id,sku,price,qty
07f5c674,2018-07-01 03:40:50,0,Router 64,1460.0,3
de500260,2018-07-01 17:48:35,0,Router 64,1460.0,5
548d1408,2018-07-01 23:45:30,0,Router 64,1460.0,4
e924bc98,2018-07-02 18:39:46,0,Router 64,1460.0,4
abf0324c,2018-07-03 01:04:02,0,Router 64,1460.0,6
5a6e41cc,2018-07-04 01:10:06,0,Router 64,1460.0,5
c6512d2e,2018-07-04 01:29:03,0,Router 64,1460.0,6
15dec94f,2018-07-05 00:00:47,0,Router 64,1460.0,6
2b538edf,2018-07-06 09:59:26,0,Router 64,1460.0,6
73cd678f,2018-07-06 23:38:28,0,Router 64,1460.0,6
46dfbec3,2018-07-07 05:09:19,0,Router 64,1460.0,7
33dc2c0e,2018-07-07 13:10:00,0,Router 64,1460.0,6
26878f09,2018-07-07 13:21:20,0,Router 64,1460.0,8
84eb5af5,2018-07-07 17:30:18,0,Router 64,1460.0,8
5737fe38,2018-07-08 07:43:49,0,Router 64,1460.0,4
8b1405a4,2018-07-09 12:51:46,0,Router 64,1460.0,4
91f602ac,2018-07-10 05:03:19,0,Router 64,1460.0,5
f82b481d,2018-07-17 04:36:25,0,Router 64,1460.0,3
e8df8d06,2018-07-18 11:03:21,0,Router 64,1460.0,3
2d8bc35c,2018-07-19 02:00:42,0,Router 64,1460.0,2
ead00a9f,2018-07-20 02:39:01,0,Router 64,1460.0,3
9cc17650,2018-07-20 16:46:01,0,Router 64,1460.0,1
a6e4bbb8,2018-07-21 12:40:06,0,Router 64,1460.0,2
1afede36,2018-07-21 23:05:18,0,Router 64,1460.0,1
c1e25973,2018-07-22 20:44:20,0,Router 64,1460.0,1
46fee923,2018-07-23 09:38:24,0,Router 64,1460.0,0
6169492d,2018-07-26 06:11:14,0,Router 64,1460.0,3
3461af80,2018-07-26 12:27:24,0,Router 64,1460.0,3
0781bbf6,2018-07-27 08:42:22,0,Router 64,1460.0,2
442cdf63,2018-07-27 14:37:39,0,Router 64,1460.0,3
