day,sku_id,sku,price,qty,qty_7d_avg,qty_7d_q10,qty_7d_q50,qty_7d_q90,qty_14d_avg,qty_14d_q10,qty_14d_q50,qty_14d_q90,qty_21d_avg,qty_21d_q10,qty_21d_q50,qty_21d_q90,next_7d,next_14d,next_21d
2018-07-01,0,Router 64,1460,7,,,,,,,,,,,,,60.0,69.0,84.0
2018-07-02,0,Router 64,1460,4,,,,,,,,,,,,,60.0,65.0,80.0
2018-07-03,0,Router 64,1460,0,,,,,,,,,,,,,65.0,68.0,80.0
2018-07-04,0,Router 64,1460,5,,,,,,,,,,,,,60.0,66.0,75.0
2018-07-05,0,Router 64,1460,6,,,,,,,,,,,,,54.0,62.0,75.0
2018-07-06,0,Router 64,1460,12,,,,,,,,,,,,,42.0,54.0,68.0
2018-07-07,0,Router 64,1460,29,9.0,2.4000000000000004,6.0,18.800000000000004,,,,,,,,,13.0,28.0,44.0
2018-07-08,0,Router 64,1460,4,8.571428571428571,2.4000000000000004,5.0,18.800000000000004,,,,,,,,,9.0,24.0,44.0
2018-07-09,0,Router 64,1460,4,8.571428571428571,2.4000000000000004,5.0,18.800000000000004,,,,,,,,,5.0,20.0,40.0
2018-07-10,0,Router 64,1460,5,9.285714285714286,4.0,5.0,18.800000000000004,,,,,,,,,3.0,15.0,40.0
2018-07-11,0,Router 64,1460,0,8.571428571428571,2.4000000000000004,5.0,18.800000000000004,,,,,,,,,6.0,15.0,40.0
2018-07-12,0,Router 64,1460,0,7.714285714285714,0.0,4.0,18.800000000000004,,,,,,,,,8.0,21.0,43.0
2018-07-13,0,Router 64,1460,0,6.0,0.0,4.0,14.600000000000009,,,,,,,,,12.0,26.0,43.0
2018-07-14,0,Router 64,1460,0,1.8571428571428572,0.0,0.0,4.4,5.428571428571429,0.0,4.0,10.500000000000005,,,,,15.0,31.0,48.0
2018-07-15,0,Router 64,1460,0,1.2857142857142858,0.0,0.0,4.4,4.928571428571429,0.0,4.0,10.200000000000006,,,,,15.0,35.0,52.0
2018-07-16,0,Router 64,1460,0,0.7142857142857143,0.0,0.0,2.0000000000000018,4.642857142857143,0.0,2.0,10.200000000000006,,,,,15.0,35.0,66.0
2018-07-17,0,Router 64,1460,3,0.42857142857142855,0.0,0.0,1.200000000000001,4.857142857142857,0.0,3.5,10.200000000000006,,,,,12.0,37.0,67.0
2018-07-18,0,Router 64,1460,3,0.8571428571428571,0.0,0.0,3.0,4.714285714285714,0.0,3.0,10.200000000000006,,,,,9.0,34.0,71.0
2018-07-19,0,Router 64,1460,2,1.1428571428571428,0.0,0.0,3.0,4.428571428571429,0.0,2.5,9.900000000000007,,,,,13.0,35.0,69.0
2018-07-20,0,Router 64,1460,4,1.7142857142857142,0.0,2.0,3.4000000000000004,3.857142857142857,0.0,2.5,4.700000000000001,,,,,14.0,31.0,71.0
2018-07-21,0,Router 64,1460,3,2.142857142857143,0.0,3.0,3.4000000000000004,2.0,0.0,2.5,4.0,4.333333333333333,0.0,3.0,7.0,16.0,33.0,82.0
2018-07-22,0,Router 64,1460,0,2.142857142857143,0.0,3.0,3.4000000000000004,1.7142857142857142,0.0,1.0,4.0,4.0,0.0,3.0,6.0,20.0,37.0,88.0
2018-07-23,0,Router 64,1460,0,2.142857142857143,0.0,3.0,3.4000000000000004,1.4285714285714286,0.0,0.0,3.700000000000001,3.8095238095238093,0.0,3.0,6.0,20.0,51.0,109.0
2018-07-24,0,Router 64,1460,0,1.7142857142857142,0.0,2.0,3.4000000000000004,1.0714285714285714,0.0,0.0,3.0,3.8095238095238093,0.0,3.0,6.0,25.0,55.0,113.0
2018-07-25,0,Router 64,1460,0,1.2857142857142858,0.0,0.0,3.4000000000000004,1.0714285714285714,0.0,0.0,3.0,3.5714285714285716,0.0,2.0,6.0,25.0,62.0,113.0
2018-07-26,0,Router 64,1460,6,1.8571428571428572,0.0,0.0,4.800000000000001,1.5,0.0,0.0,3.700000000000001,3.5714285714285716,0.0,2.0,6.0,22.0,56.0,112.0
2018-07-27,0,Router 64,1460,5,2.0,0.0,0.0,5.4,1.8571428571428572,0.0,1.0,4.700000000000001,3.238095238095238,0.0,2.0,5.0,17.0,57.0,107.0
2018-07-28,0,Router 64,1460,5,2.2857142857142856,0.0,0.0,5.4,2.2142857142857144,0.0,2.5,5.0,2.0952380952380953,0.0,2.0,5.0,17.0,66.0,107.0
2018-07-29,0,Router 64,1460,4,2.857142857142857,0.0,4.0,5.4,2.5,0.0,3.0,5.0,2.0952380952380953,0.0,2.0,5.0,17.0,68.0,104.0
2018-07-30,0,Router 64,1460,0,2.857142857142857,0.0,4.0,5.4,2.5,0.0,3.0,5.0,1.9047619047619047,0.0,0.0,5.0,31.0,89.0,104.0
2018-07-31,0,Router 64,1460,5,3.5714285714285716,0.0,5.0,5.4,2.642857142857143,0.0,3.0,5.0,1.9047619047619047,0.0,0.0,5.0,30.0,88.0,100.0
2018-08-01,0,Router 64,1460,0,3.5714285714285716,0.0,5.0,5.4,2.4285714285714284,0.0,2.5,5.0,1.9047619047619047,0.0,0.0,5.0,37.0,88.0,100.0
2018-08-02,0,Router 64,1460,3,3.142857142857143,0.0,4.0,5.0,2.5,0.0,3.0,5.0,2.0476190476190474,0.0,2.0,5.0,34.0,90.0,106.0
2018-08-03,0,Router 64,1460,0,2.4285714285714284,0.0,3.0,5.0,2.2142857142857144,0.0,1.5,5.0,2.0476190476190474,0.0,2.0,5.0,40.0,90.0,106.0
2018-08-04,0,Router 64,1460,5,2.4285714285714284,0.0,3.0,5.0,2.357142857142857,0.0,1.5,5.0,2.2857142857142856,0.0,3.0,5.0,49.0,90.0,105.0
2018-08-05,0,Router 64,1460,4,2.4285714285714284,0.0,3.0,5.0,2.642857142857143,0.0,3.5,5.0,2.4761904761904763,0.0,3.0,5.0,51.0,87.0,106.0
2018-08-06,0,Router 64,1460,14,4.428571428571429,0.0,4.0,8.600000000000003,3.642857142857143,0.0,4.0,5.700000000000001,3.142857142857143,0.0,3.0,5.0,58.0,73.0,100.0
2018-08-07,0,Router 64,1460,4,4.285714285714286,0.0,4.0,8.600000000000003,3.9285714285714284,0.0,4.0,5.700000000000001,3.1904761904761907,0.0,3.0,5.0,58.0,70.0,102.0
2018-08-08,0,Router 64,1460,7,5.285714285714286,1.8000000000000003,4.0,9.800000000000002,4.428571428571429,0.0,4.5,6.700000000000001,3.380952380952381,0.0,4.0,6.0,51.0,63.0,95.0
2018-08-09,0,Router 64,1460,0,4.857142857142857,0.0,4.0,9.800000000000002,4.0,0.0,4.0,6.400000000000002,3.2857142857142856,0.0,4.0,6.0,56.0,72.0,103.0
2018-08-10,0,Router 64,1460,6,5.714285714285714,2.4000000000000004,5.0,9.800000000000002,4.071428571428571,0.0,4.0,6.700000000000001,3.380952380952381,0.0,4.0,6.0,50.0,66.0,112.0
2018-08-11,0,Router 64,1460,14,7.0,2.4000000000000004,6.0,14.0,4.714285714285714,0.0,4.0,11.900000000000007,3.9047619047619047,0.0,4.0,7.0,41.0,56.0,109.0
2018-08-12,0,Router 64,1460,6,7.285714285714286,2.4000000000000004,6.0,14.0,4.857142857142857,0.0,4.5,11.900000000000007,4.190476190476191,0.0,4.0,7.0,36.0,55.0,109.0
2018-08-13,0,Router 64,1460,21,8.285714285714286,2.4000000000000004,6.0,16.800000000000004,6.357142857142857,0.0,5.0,14.0,5.190476190476191,0.0,5.0,14.0,15.0,42.0,88.0
2018-08-14,0,Router 64,1460,4,8.285714285714286,2.4000000000000004,6.0,16.800000000000004,6.285714285714286,0.0,4.5,14.0,5.380952380952381,0.0,5.0,14.0,12.0,44.0,96.0
2018-08-15,0,Router 64,1460,0,7.285714285714286,0.0,6.0,16.800000000000004,6.285714285714286,0.0,4.5,14.0,5.380952380952381,0.0,5.0,14.0,12.0,44.0,104.0
2018-08-16,0,Router 64,1460,5,8.0,2.4000000000000004,6.0,16.800000000000004,6.428571428571429,0.0,5.0,14.0,5.333333333333333,0.0,5.0,14.0,16.0,47.0,104.0
2018-08-17,0,Router 64,1460,0,7.142857142857143,0.0,5.0,16.800000000000004,6.428571428571429,0.0,5.0,14.0,5.095238095238095,0.0,4.0,14.0,16.0,62.0,111.0
2018-08-18,0,Router 64,1460,5,5.857142857142857,0.0,5.0,12.000000000000005,6.428571428571429,0.0,5.0,14.0,5.095238095238095,0.0,4.0,14.0,15.0,68.0,117.0
2018-08-19,0,Router 64,1460,1,5.142857142857143,0.0,4.0,11.400000000000006,6.214285714285714,0.0,5.0,14.0,4.9523809523809526,0.0,4.0,14.0,19.0,73.0,129.0
2018-08-20,0,Router 64,1460,0,2.142857142857143,0.0,1.0,5.0,5.214285714285714,0.0,4.5,11.900000000000007,4.9523809523809526,0.0,4.0,14.0,27.0,73.0,133.0
2018-08-21,0,Router 64,1460,1,1.7142857142857142,0.0,1.0,5.0,5.0,0.0,4.5,11.900000000000007,4.761904761904762,0.0,4.0,14.0,32.0,84.0,135.0
2018-08-22,0,Router 64,1460,0,1.7142857142857142,0.0,1.0,5.0,4.5,0.0,2.5,11.600000000000009,4.761904761904762,0.0,4.0,14.0,32.0,92.0,139.0
2018-08-23,0,Router 64,1460,9,2.2857142857142856,0.0,1.0,6.600000000000001,5.142857142857143,0.0,4.5,12.500000000000005,5.0476190476190474,0.0,4.0,14.0,31.0,88.0,133.0
2018-08-24,0,Router 64,1460,0,2.2857142857142856,0.0,1.0,6.600000000000001,4.714285714285714,0.0,2.5,12.500000000000005,5.0476190476190474,0.0,4.0,14.0,46.0,95.0,133.0
2018-08-25,0,Router 64,1460,4,2.142857142857143,0.0,1.0,6.000000000000002,4.0,0.0,2.5,8.100000000000003,5.0,0.0,4.0,14.0,53.0,102.0,130.0
2018-08-26,0,Router 64,1460,5,2.7142857142857144,0.0,1.0,6.600000000000001,3.9285714285714284,0.0,2.5,7.800000000000004,5.0476190476190474,0.0,4.0,14.0,54.0,110.0,125.0
2018-08-27,0,Router 64,1460,8,3.857142857142857,0.0,4.0,8.4,3.0,0.0,2.5,7.100000000000003,4.761904761904762,0.0,4.0,9.0,46.0,106.0,117.0
2018-08-28,0,Router 64,1460,6,4.571428571428571,0.0,5.0,8.4,3.142857142857143,0.0,2.5,7.400000000000002,4.857142857142857,0.0,5.0,9.0,52.0,103.0,111.0
